Journal,Impact Factor,Hybrid?,Free Closed‑Access Option,Link
Bioinformatics,~6.9,Yes,Yes,Link
Briefings in Bioinformatics,~6.8,Yes,Yes,Link
Journal of Biomedical Informatics,~6.3,Yes,Yes,Link
IEEE/ACM Trans. on Computational Biology and Bioinformatics (TCBB),Q1 level,Yes,Yes,Link
Memetic Computing,<3,Yes,Yes,Link
IEEE Journal of Biomedical and Health Informatics (JBHI),~7.7,Yes,Yes,Link
Journal of the American Medical Informatics Association (JAMIA),~6.4,Yes,Yes,Link
Implementation Science,~9.7,Yes,Yes,Link
GigaScience,~9.2,Yes,Yes,Link
Computer Methods and Programs in Biomedicine,1.5–2,Yes,Yes,Link
Acta Crystallographica Section D: Structural Biology,~7.65,Yes,Yes,Link
Wiley Interdisciplinary Reviews: Comp. Molecular Science,~11.4,Yes,Yes,Link
Computers in Biology and Medicine,6.3,No,No,Link
Nucleic Acids Research (NAR),14.9,Yes,Yes,Link
Journal of Computational Biology,4.4,Yes,Yes,Link
"Proteins: Structure, Function, and Bioinformatics",4.3,Yes,Yes,Link
Journal of Molecular Biology,5.5,Yes,Yes,Link
Journal of Chemical Information and Modeling,5.6,Yes,Yes,Link
Journal of Medicinal Chemistry,7.3,Yes,Yes,Link
The Journal of General Physiology,4.0,Yes,Yes,Link
Database: The Journal of Biological Databases and Curation,4.2,Yes,Yes,Link
NAR Genomics and Bioinformatics,5.1,Yes,Yes,Link
"Genomics, Proteomics & Bioinformatics",6.4,No,Yes,Link
Science China Life Sciences,4.6,No,Yes,Link
Journal of Molecular Cell Biology,5.5,Yes,Yes,Link
Acta Pharmacologica Sinica,5.1,Yes,Yes,Link
BioScience Trends,3.5,Yes,Yes,Link
Journal of Biomedical Science,5.8,Yes,Yes,Link
Cell Research,25.6,Yes,Yes,Link
Protein & Cell,10.2,Yes,Yes,Link
National Science Review,17.3,Yes,Yes,Link
Molecular & Cellular Proteomics,6.1,Yes,Yes,
Journal of Molecular Graphics & Modelling,2.7,Yes,Yes,
International J. Biol. Macromolecules,5,Yes,Yes,Link
Journal of Molecular Biology,4.5,Yes,Yes,Link
Journal of Chemical Information and Modeling,"5,3",Yes,No,Link
In Silico Pharmacology,Dudoso,Yes,Dudoso,Link
Medicina Intensiva,,Yes,No,
Medicina Intensiva (English Edition),,Yes,No,
Mental Health & Prevention,,Yes,No,
Mental Health and Physical Activity,,Yes,No,
Metabolic Engineering,,Yes,No,
Metabolism,,Yes,No,
Methods,,Yes,No,
Micro and Nanostructures,,Yes,No,
Microbes and Infection,,Yes,No,
Microbial Pathogenesis,,Yes,No,
Microbial Risk Analysis,,Yes,No,
Microbiological Research,,Yes,No,
Microchemical Journal,,Yes,No,
Microelectronic Engineering,,Yes,No,
Microelectronics Journal,,Yes,No,
Microelectronics Reliability,,Yes,No,
Micron,,Yes,No,
Microporous and Mesoporous Materials,,Yes,No,
Microprocessors and Microsystems,,Yes,No,
Microvascular Research,,Yes,No,
Midwifery,,Yes,No,
Minerals Engineering,,Yes,No,
Mitochondrion,,Yes,No,
Modern Pathology,,Yes,No,
Molecular and Biochemical Parasitology,,Yes,No,
Molecular and Cellular Endocrinology,,Yes,No,
Molecular and Cellular Neuroscience,,Yes,No,
Molecular Aspects of Medicine,,Yes,No,
Molecular Catalysis,,Yes,No,
Molecular Cell,,Yes,No,
Molecular Genetics and Metabolism,,Yes,No,
Molecular Immunology,,Yes,No,
Molecular Phylogenetics and Evolution,,Yes,No,
Molecular Plant,,Yes,No,
Molecular Therapy,,Yes,No,
Morphologie,,Yes,No,
Motricité Cérébrale,,Yes,No,
Multiple Sclerosis and Related Disorders,,Yes,No,
Mutation Research - Fundamental and Molecular Mechanisms of Mutagenesis,,Yes,No,
Mutation Research - Genetic Toxicology and Environmental Mutagenesis,,Yes,No,
Mutation Research - Reviews in Mutation Research,,Yes,No,
Médecine & Droit,,Yes,No,
Médecine de Catastrophe - Urgences Collectives,,Yes,No,
Médecine des Maladies Métaboliques,,Yes,No,
Médecine du Sommeil,,Yes,No,
Médecine Nucléaire,,Yes,No,
Médecine Palliative,,Yes,No,
Nano Communication Networks,,Yes,No,
Nano Energy,,Yes,No,
Nano Today,,Yes,No,
Nano-Structures & Nano-Objects,,Yes,No,
NanoImpact,,Yes,No,
"Nanomedicine: Nanotechnology, Biology and Medicine",,Yes,No,
NDT & E International,,Yes,No,
Neural Networks,,Yes,No,
Neurobiology of Aging,,Yes,No,
Neurobiology of Learning and Memory,,Yes,No,
Neurochemistry International,,Yes,No,
Neurochirurgie,,Yes,No,
Neurocirugía,,Yes,No,
Neurocirugía (English Edition),,Yes,No,
Neurocomputing,,Yes,No,
Neuromodulation: Technology at the Neural Interface,,Yes,No,
Neuromuscular Disorders,,Yes,No,
Neuron,,Yes,No,
Neuropeptides,,Yes,No,
Neuropharmacology,,Yes,No,
Neurophysiologie clinique,,Yes,No,
Neuropsychiatrie de l'Enfance et de l'Adolescence,,Yes,No,
Neuropsychologia,,Yes,No,
Neuroscience,,Yes,No,
Neuroscience & Biobehavioral Reviews,,Yes,No,
Neuroscience Letters,,Yes,No,
Neuroscience Research,,Yes,No,
NeuroToxicology,,Yes,No,
Neurotoxicology and Teratology,,Yes,No,
New Astronomy,,Yes,No,
New Astronomy Reviews,,Yes,No,
New Ideas in Psychology,,Yes,No,
Nitric Oxide,,Yes,No,
Nonlinear Analysis,,Yes,No,
Nonlinear Analysis: Hybrid Systems,,Yes,No,
Nonlinear Analysis: Real World Applications,,Yes,No,
